epoch,train_loss,val_roc_auc,val_pr_auc
1,1.3538671786134893,0.8134218737336899,0.008085460343330865
2,1.2708356759764932,0.8089138098711404,0.008857449505143304
3,1.0736979191953486,0.8195204230488695,0.00914176489122683
4,0.8393026156858965,0.8314693249047735,0.011014640905684533
5,0.7037700577215715,0.8595915390226112,0.01095441335660719
6,0.617945215918801,0.8685519491044655,0.011960739049197379
7,0.5726375606927004,0.8658369803063457,0.01160029309068221
8,0.6127233938737349,0.873455101710025,0.012302912482962784
9,0.5550907958637584,0.8580061188102763,0.011771914598959396
10,0.6136927089907906,0.8535689683118567,0.009998488237046
11,0.6201733675870028,0.8511427182105519,0.010785773238800513
12,0.5783321911638434,0.851011021962882,0.00977408951587117
13,0.5875697894529863,0.8379376367614879,0.009709105061389781
14,0.5963530703024431,0.8395129264932328,0.010054673212852982
15,0.5354446335272356,0.8385049436745279,0.010571641662515606
16,0.4889146793972362,0.8339360969284383,0.009589357202328317
